Original Description,Original Statute,Corrected Statute,Charge Class,Other Class Possible,Standardized Description,Notes,Type
POSS CONTRA/NON-ST PENAL INST,0 ILCS 0/,720 ILCS 5/31A-1.1,FX,"4, 3, 2, 1",CONTRABAND IN A PENAL INSTITUTION,Could be anywhere from 4-X depending on what was brought in.,
CONTRIB CRIM DELINQ MINOR,720 ILCS 5/12C-30(a),720 ILCS 5/12C-30(a),MA,,CONTRIBUTE TO CRIMINAL DELINQUENCY OF A MINOR,,
UNLWFL POSS 3+ CR/DEBIT CARDS,720 ILCS 5/17-32(b),720 ILCS 5/17-32(b)(3+),F3,,CREDIT AND DEBIT CARD FRAUD,,
USE FORGED CR/DEBIT CARD/>$300,720 ILCS 5 17-36 [16005],720 ILCS 5/17-36(>300),F3,,CREDIT AND DEBIT CARD FRAUD,,
USE FORGED CR/DEBIT CARD/>$300,720 ILCS 5/17-36,720 ILCS 5/17-36(>300),F3,,CREDIT AND DEBIT CARD FRAUD,,
COUNTERFIET CREDIT/DEBIT CARD,720 ILCS 5 17-41(a)(ii) [16015],720 ILCS 5/17-41(a)(ii),F3,,CREDIT AND DEBIT CARD FRAUD,,
COUNTERFIET CREDIT/DEBIT CARD,720 ILCS 5/17-41(a)(ii),720 ILCS 5/17-41(a)(ii),F3,,CREDIT AND DEBIT CARD FRAUD,,
POSS INCOMPLETE CR/DEBIT CARD,720 ILCS 5/17-42,720 ILCS 5/17-42,F3,,CREDIT AND DEBIT CARD FRAUD,,
UNLAWFUL POSS CR/DEBIT CARD,720 ILCS 5/17-32(b),720 ILCS 5/17-32(b),F4,,CREDIT AND DEBIT CARD FRAUD,,
USE FORGED CR/DEBIT CARD/<$300,720 ILCS 5/17-36,720 ILCS 5/17-36,F4,,CREDIT AND DEBIT CARD FRAUD,,
USE OF ACCT NUMBER/CODE/<$150,720 ILCS 5/17-38(a),720 ILCS 5/17-38(a),F4,,CREDIT AND DEBIT CARD FRAUD,,
ALTER CREDIT/DEBIT CARD,720 ILCS 5/17-41(a)(i),720 ILCS 5/17-41(a)(i),F4,,CREDIT AND DEBIT CARD FRAUD,,
UNLAWFUL POSSESSION ID CARD,720 ILCS 5 17-32(a) [16257],720 ILCS 5/17-32(a),MA,,CREDIT AND DEBIT CARD FRAUD,,
CRIMINAL ABUSE/NEGLECT/DEATH,720 ILCS 5/12-21(a)(1),720 ILCS 5/12-21(a)(1)(death),F2,,CRIMINAL ABUSE / NEGLECT OF AN ELDERLY PERSON,This act was repealed? Abuse of an elderly person,
CRIM DMG/GOVT PROP>$10K-$100K,720 ILCS 5/21-1.01(a)(1),720 ILCS 5/21-1.01(10K-100K),F2,,CRIMINAL DAMAGE TO GOVERNMENT PROPERTY,,
CRIM DMG/GOVT PROP/>$500-$10K,720 ILCS 5/21-1.01(a)(1),720 ILCS 5/21-1.01(500-10K),F3,,CRIMINAL DAMAGE TO GOVERNMENT PROPERTY,,
CRIM DMG/GOVT PROP/>$500-10K,720 ILCS 5 21-4(1)(a) [10761],720 ILCS 5/21-1.01(500-10K),F3,,CRIMINAL DAMAGE TO GOVERNMENT PROPERTY,,
CRIM DMG/GOVT PROP/>$500-10K,720 ILCS 5/21-4(1)(a),720 ILCS 5/21-1.01(500-10K),F3,,CRIMINAL DAMAGE TO GOVERNMENT PROPERTY,,
CRIM DMG/GOVT PROP/<$500,720 ILCS 5/21-1.01(a)(1),720 ILCS 5/21-1.01(<500),F4,,CRIMINAL DAMAGE TO GOVERNMENT PROPERTY,,
CRIM DMG/GOVT PROP/KNOW/<$500,720 ILCS 5/21-4(1)(a),720 ILCS 5/21-1.01(<500),F4,,CRIMINAL DAMAGE TO GOVERNMENT PROPERTY,,
KNOW DMG PROP/SCHOOL $300<10K,720 ILCS 5/21-1(1)(a),"721 ILCS 5/21-1(a)(8/9)(300-10K, place)",F3,,CRIMINAL DAMAGE TO PROPERTY,,
KNOW DAMAGE PROP>$10K-100K,720 ILCS 5/21-1(1)(a),722 ILCS 5/21-1(a)(8/9)(10K-100K),F3,,CRIMINAL DAMAGE TO PROPERTY,,
CRIMINAL DAMAGE/$10K-100K,720 ILCS 5/21-1(a)(1),722 ILCS 5/21-1(a)(8/9)(10K-100K),F3,,CRIMINAL DAMAGE TO PROPERTY,,
CRIMINAL DAMAGE <$300/SCHOOL,720 ILCS 5/21-1(a)(1),"721 ILCS 5/21-1(a)(8/9)(<300, place)",F4,,CRIMINAL DAMAGE TO PROPERTY,,
CRIM DAMAGE TO PROPERTY <$300,720 ILCS 5/21-1(a)(1),721 ILCS 5/21-1(a)(8/9)(<300),MA,,CRIMINAL DAMAGE TO PROPERTY,,
CRIMINAL DRUG CONSPIRACY,720 ILCS 570/402,720 ILCS 570/405,FX,,CRIMINAL DRUG CONSPIRACY,,
CALCULATED CRIMINAL DRUG CONSPIRACY,720 ILCS 570/405,720 ILCS 570/405,FX,,CRIMINAL DRUG CONSPIRACY,,
CALCULATED CRIM DRUG CONSPIR,720 ILCS 570/405(b),720 ILCS 570/405,FX,,CRIMINAL DRUG CONSPIRACY,,
CRIMINAL DRUG CONSPIRACY,720 ILCS 570/407,720 ILCS 570/405,FX,,CRIMINAL DRUG CONSPIRACY,,
STREETGANG CRIM DRUG CONSPIR,720 ILCS 570/405.2(a),720 ILCS 570/405.2,FX,,CRIMINAL DRUG CONSPIRACY: STREET GANG,,
CRIMINAL SEXUAL ABUSE/FORCE/2+,720 ILCS 5/11-1.50(a)(1),720 ILCS 5/11-1.50(a)(1)/2+,F2,,CRIMINAL SEXUAL ABUSE,,
CRIMINAL SEXUAL ABUSE/FORCE,720 ILCS 5/11-1.50(a)(1),720 ILCS 5/11-1.50(a)(1),F4,,CRIMINAL SEXUAL ABUSE,,
CRIMINAL SEXUAL ABUSE FORCE,720 ILCS 5/12-15(a)(1),720 ILCS 5/11-1.50(a)(1),F4,,CRIMINAL SEXUAL ABUSE,,
CRIM SEX AB/<5 YR OLDER VICTIM,720 ILCS 5/11-1.50(c),720 ILCS 5/11-1.50(c),MA,,CRIMINAL SEXUAL ABUSE,,<5 YEARS OLDER THAN VICTIM
AGG CRIM SEXUAL ABUSE/WEAPON,720 ILCS 5/11-1.60(a)(1),720 ILCS 5/11-1.60(a)(1),F2,,CRIMINAL SEXUAL ABUSE: AGGRAVATED,,
AGG CRIM SEX ABUSE/BODILY HARM,720 ILCS 5/11-1.60(a)(2),720 ILCS 5/11-1.60(a)(2),F2,,CRIMINAL SEXUAL ABUSE: AGGRAVATED,,
AGG CRIM SEX AB/BODILY HARM,720 ILCS 5/12-16(a)(2),720 ILCS 5/11-1.60(a)(2),F2,,CRIMINAL SEXUAL ABUSE: AGGRAVATED,,
AGG CRIM SEX ABUSE/VICTIM 60+,720 ILCS 5/11-1.60(a)(3),720 ILCS 5/11-1.60(a)(3),F2,,CRIMINAL SEXUAL ABUSE: AGGRAVATED,,
AGG CRIM SEX ABUSE/THREAT LIFE,720 ILCS 5/11-1.60(a)(5),720 ILCS 5/11-1.60(a)(5),F2,,CRIMINAL SEXUAL ABUSE: AGGRAVATED,,
AGG CRIM SEX  AB/THREATEN LIFE,720 ILCS 5/12-16(a)(5),720 ILCS 5/11-1.60(a)(5),F2,,CRIMINAL SEXUAL ABUSE: AGGRAVATED,,
AGG CRIM SEXUAL ABUSE/FELONY,720 ILCS 5/11-1.60(a)(6),720 ILCS 5/11-1.60(a)(6),F2,,CRIMINAL SEXUAL ABUSE: AGGRAVATED,,
AGG CRIM SEX AB/VIC <18/FAMILY,720 ILCS 5 11-1.60(b) [15825],720 ILCS 5/11-1.60(b),F2,,CRIMINAL SEXUAL ABUSE: AGGRAVATED,,
AGG CRIM SEX AB/VIC <18/FAMILY,720 ILCS 5/11-1.60(b),720 ILCS 5/11-1.60(b),F2,,CRIMINAL SEXUAL ABUSE: AGGRAVATED,,
AGG CRIM SEX ABUSE/FAMILY,720 ILCS 5/12-16(b),720 ILCS 5/11-1.60(b),F2,,CRIMINAL SEXUAL ABUSE: AGGRAVATED,,
AGG CRIM SEX ABUSE/VICTIM <13,720 ILCS 5 11-1.60(c)(1)(i) [15826],720 ILCS 5/11-1.60(c)(1)(i),F2,,CRIMINAL SEXUAL ABUSE: AGGRAVATED,,
AGG CRIM SEX ABUSE/VICTIM <13,720 ILCS 5/11-1.60(c)(1)(i),720 ILCS 5/11-1.60(c)(1)(i),F2,,CRIMINAL SEXUAL ABUSE: AGGRAVATED,,
AGG CRIM SEX ABUSE/VIC <13,720 ILCS 5/12-16(c)(1)(i),720 ILCS 5/11-1.60(c)(1)(i),F2,,CRIMINAL SEXUAL ABUSE: AGGRAVATED,,
AGG CRIM SEX ABUSE/VIC 13-17,720 ILCS 5/11-1.60(c)(1)(ii),720 ILCS 5/11-1.60(c)(1)(ii),F2,,CRIMINAL SEXUAL ABUSE: AGGRAVATED,,
AGG CRIM SEX ABUSE/VICTIM <9,720 ILCS 5/11-1.60(c)(2)(i),720 ILCS 5/11-1.60(c)(2)(i),F2,,CRIMINAL SEXUAL ABUSE: AGGRAVATED,,
AGG CRIM SX AB/<5 YR OLDER VIC,720 ILCS 5 11-1.60(d) [15830],720 ILCS 5/11-1.60(d),F2,,CRIMINAL SEXUAL ABUSE: AGGRAVATED,,
AGG CRIM SX AB/>5 YR OLDER VIC,720 ILCS 5/11-1.60(d),720 ILCS 5/11-1.60(d),F2,,CRIMINAL SEXUAL ABUSE: AGGRAVATED,,
AGG CRIM SEX AB/VIC 13-16,720 ILCS 5/12-16(d),720 ILCS 5/11-1.60(d),F2,,CRIMINAL SEXUAL ABUSE: AGGRAVATED,,
AGG CRIM SX AB/VIC 13<18/TRUST,720 ILCS 5/11-1.60(f),720 ILCS 5/11-1.60(f),F2,,CRIMINAL SEXUAL ABUSE: AGGRAVATED,,
AGG CRIM SEX AB/VIC 13-18/TRST,720 ILCS 5/12-16(f),720 ILCS 5/11-1.60(f),F2,,CRIMINAL SEXUAL ABUSE: AGGRAVATED,,
CRIMINAL SEXUAL ASSAULT,38-12-13,720 ILCS 5/11-1.20,F1,X,CRIMINAL SEXUAL ASSAULT,Class X if prior conviction,
CRIMINAL SEXUAL ASSAULT:FORCE,720 ILCS 5/12-13(a)(1),720 ILCS 5/11-1.20(a)(1),F1,,CRIMINAL SEXUAL ASSAULT,,
CRIM SEX ASSAULT/FORCE,720 ILCS 5/12-13(a)(1),720 ILCS 5/11-1.20(a)(1),F1,,CRIMINAL SEXUAL ASSAULT,,
CRIM SEX ASSAULT/FORCE,720 ILCS 5 11-1.20(a)(1) [15786],720 ILCS 5/11-1.20(a)(1),F1,,CRIMINAL SEXUAL ASSAULT,,
CRIM SEX ASSAULT/FORCE,720 ILCS 5/11-1.20(a)(1),720 ILCS 5/11-1.20(a)(1),F1,,CRIMINAL SEXUAL ASSAULT,,
CRIMINAL SEX ASSAULT/CONSENT,720 ILCS 5/11-1.20(a)(2),720 ILCS 5/11-1.20(a)(2),F1,,CRIMINAL SEXUAL ASSAULT,,
CRIM SEX ASLT/FAMILY MEMBER<18,720 ILCS 5/11-1.20(a)(3),720 ILCS 5/11-1.20(a)(3),F1,,CRIMINAL SEXUAL ASSAULT,,
CRIM SEX ASLT/SUPER VIC 13-17,720 ILCS 5/11-1.20(a)(4),720 ILCS 5/11-1.20(a)(4),F1,,CRIMINAL SEXUAL ASSAULT,,
CRIM SEX ASSAULT/FORCE/2ND+,720 ILCS 5/12-13(a)(1),720 ILCS 5/11-1.20(b)(1)(A-C),FX,,CRIMINAL SEXUAL ASSAULT,,
CRIM SEX ASLT/FORCE/PREV CONV,720 ILCS 5/11-1.20(a)(1),720 ILCS 5/11-1.20(b)(1)(A-C),FX,,CRIMINAL SEXUAL ASSAULT,,
SX ASLT/CONSENT/PREV CONVICT,720 ILCS 5 11-1.20(a)(2) [15789],720 ILCS 5/11-1.20(b)(1)(A-C),FX,,CRIMINAL SEXUAL ASSAULT,,
CRIMINAL SEX ASSAULT/CONSENT,720 ILCS 5 11-1.20(a)(2) [15788],720 ILCS 5/11-1.20(b)(1)(A-C),FX,,CRIMINAL SEXUAL ASSAULT,,
CRIM SEX ASLT/FAM MBR <18/2+,720 ILCS 5/11-1.20(a)(3),720 ILCS 5/11-1.20(b)(1)(A-C),FX,,CRIMINAL SEXUAL ASSAULT,,
CRIM SEX ASLT/VICTIM 13-17/2+,720 ILCS 5/11-1.20(a)(4),720 ILCS 5/11-1.20(b)(1)(A-C),FX,,CRIMINAL SEXUAL ASSAULT,,
AGG CRIM SEX ASSAULT/WEAPON,720 ILCS 5/11-1.30(a)(1),720 ILCS 5/11-1.30(a)(1),FX,,CRIMINAL SEXUAL ASSAULT: AGGRAVATED,,
AGG CRIM SEX ASSAULT/WEAPON,720 ILCS 5/12-14(a)(1),720 ILCS 5/11-1.30(a)(1),FX,,CRIMINAL SEXUAL ASSAULT: AGGRAVATED,,
AGGRAVATED CRIMINAL SEXUAL ASSAULT:WEAPON,720 ILCS 5/12-14(a)(1),720 ILCS 5/11-1.30(a)(1),FX,,CRIMINAL SEXUAL ASSAULT: AGGRAVATED,,
AGG CRIMINAL SEXUAL ASSAULT/FIREARM DISCHAGE HARM,720 ILCS 5/12-14(a)(10),720 ILCS 5/11-1.30(a)(10),FX,,CRIMINAL SEXUAL ASSAULT: AGGRAVATED,,
AGG CRIM SEX ASLT/BODILY HARM,720 ILCS 5/11-1.30(a)(2),720 ILCS 5/11-1.30(a)(2),FX,,CRIMINAL SEXUAL ASSAULT: AGGRAVATED,,
AGG CRIM SEX ASLT/BODILY HARM,720 ILCS 5/12-14(a)(2),720 ILCS 5/11-1.30(a)(2),FX,,CRIMINAL SEXUAL ASSAULT: AGGRAVATED,,
AGGRAVATED CRIMINAL SEXUAL ASSAULT:BODILY HARM,720 ILCS 5/12-14(a)(2),720 ILCS 5/11-1.30(a)(2),FX,,CRIMINAL SEXUAL ASSAULT: AGGRAVATED,,
AGG CRIM SEX ASLT/THREAT LIFE,720 ILCS 5/11-1.30(a)(3),720 ILCS 5/11-1.30(a)(3),FX,,CRIMINAL SEXUAL ASSAULT: AGGRAVATED,,
AGG CRIM SEX ASSAULT/FELONY,720 ILCS 5/11-1.30(a)(4),720 ILCS 5/11-1.30(a)(4),FX,,CRIMINAL SEXUAL ASSAULT: AGGRAVATED,,
AGG CRIM SEX ASSAULT/FELONY,720 ILCS 5/12-14(a)(4),720 ILCS 5/11-1.30(a)(4),FX,,CRIMINAL SEXUAL ASSAULT: AGGRAVATED,,
AGG CRIM SEX ASSAULT/VIC 60+,720 ILCS 5/11-1.30(a)(5),720 ILCS 5/11-1.30(a)(5),FX,,CRIMINAL SEXUAL ASSAULT: AGGRAVATED,,
AGGRAVATED CRIMINAL SEXUAL ASSAULT:VICTIM >60,720 ILCS 5/12-14(a)(5),720 ILCS 5/11-1.30(a)(5),FX,,CRIMINAL SEXUAL ASSAULT: AGGRAVATED,,
AGG CRIM SEX ASLT/HANDICAPPED,720 ILCS 5/11-1.30(a)(6),720 ILCS 5/11-1.30(a)(6),FX,,CRIMINAL SEXUAL ASSAULT: AGGRAVATED,,
AGG CRIM SEX ASSAULT/CON SUB,720 ILCS 5/11-1.30(a)(7),720 ILCS 5/11-1.30(a)(7),FX,,CRIMINAL SEXUAL ASSAULT: AGGRAVATED,,
AGG CRIM SEX ASSAULT/FIREARM,720 ILCS 5/11-1.30(a)(8),720 ILCS 5/11-1.30(a)(8),FX,,CRIMINAL SEXUAL ASSAULT: AGGRAVATED,,
AGGRAVATED CRIMINAL SEXUAL ASSAULT/FIREARM,720 ILCS 5/12-14(a)(8),720 ILCS 5/11-1.30(a)(8),FX,,CRIMINAL SEXUAL ASSAULT: AGGRAVATED,,
AGG CRIM SEX ASSAULT/FIREARM,720 ILCS 5/12-14(a)(8),720 ILCS 5/11-1.30(a)(8),FX,,CRIMINAL SEXUAL ASSAULT: AGGRAVATED,,
AGG CRIM SEX ASSAULT/VICTIM <9,720 ILCS 5/11-1.30(b)(i),720 ILCS 5/11-1.30(b)(i),FX,,CRIMINAL SEXUAL ASSAULT: AGGRAVATED,,
AGG CRIM SEX ASLT/VICTIM <9,720 ILCS 5/12-14(b)(i),720 ILCS 5/11-1.30(b)(i),FX,,CRIMINAL SEXUAL ASSAULT: AGGRAVATED,,
AGG CRIM SX ASLT/FORCE VIC9-13,720 ILCS 5/11-1.30(b)(ii),720 ILCS 5/11-1.30(b)(ii),FX,,CRIMINAL SEXUAL ASSAULT: AGGRAVATED,,
AGG CRIM SEX ASLT/VICTIM <13,720 ILCS 5/12-14(b)(1),720 ILCS 5/11-1.30(b)(ii),FX,,CRIMINAL SEXUAL ASSAULT: AGGRAVATED,,
AGG CRIM SEX ASSAULT/RETARDED,720 ILCS 5/11-1.30(c),720 ILCS 5/11-1.30(c),FX,,CRIMINAL SEXUAL ASSAULT: AGGRAVATED,,
TRANSMIT HIV/SEXUAL ACTIVITY,720 ILCS 5/12-5.01(a)(1),720 ILCS 5/12-5.01(a)(1),F2,,CRIMINAL TRANSMISSION OF HIV,,
CRIMINAL TRESPASS TO LAND,720 ILCS 5 21-3(a) [10924],720 ILCS 5/21-3(a)(1-3),MB,,CRIMINAL TRESPASS TO LAND,,
CRIMINAL TRESPASS TO LAND,720 ILCS 5 21-3(a) [1160000],720 ILCS 5/21-3(a)(1-3),MB,,CRIMINAL TRESPASS TO LAND,,
CRIMINAL TRESPASS TO VEHICLES,720 ILCS 5 21-2 [1155000],720 ILCS 5/21-2,MA,,CRIMINAL TRESPASS TO REAL PROPERTY,,
CRIMINAL TRESPASS TO VEHICLES,720 ILCS 5/21-2,720 ILCS 5/21-2,MA,,CRIMINAL TRESPASS TO REAL PROPERTY,,
CRIMINAL TRESPASS TO VEHICLES,720 ILCS 5/21-2(a),720 ILCS 5/21-2,MA,,CRIMINAL TRESPASS TO REAL PROPERTY,,
CRIMINAL TRESPASS TO LAND,720 ILCS 5/21-3(a),720 ILCS 5/21-3(a)(1-3),MB,,CRIMINAL TRESPASS TO REAL PROPERTY,,
CRIM TRESPASS TO REAL PROPERTY,,720 ILCS 5/21-3(a)(1-3),MB,,CRIMINAL TRESPASS TO REAL PROPERTY,,
CRIMINAL TRESPASS TO REAL PROPERTY,,720 ILCS 5/21-3(a)(1-3),MB,,CRIMINAL TRESPASS TO REAL PROPERTY,,
CRIMINAL TRESPASS TO RESIDENCE,,720 ILCS 5/21-3(a)(1-3),MB,,CRIMINAL TRESPASS TO REAL PROPERTY,,
CRIMINAL TRESPASS BUILDING,720 ILCS 5/21-3(a)(1),720 ILCS 5/21-3(a)(1-3),MB,,CRIMINAL TRESPASS TO REAL PROPERTY,,
CRIMINAL TRESPASS TO LAND,720 ILCS 5 21-3(a)(2) [11496],720 ILCS 5/21-3(a)(1-3),MB,,CRIMINAL TRESPASS TO REAL PROPERTY,,
CRIMINAL TRESPASS TO LAND,720 ILCS 5/21-3(a)(2),720 ILCS 5/21-3(a)(1-3),MB,,CRIMINAL TRESPASS TO REAL PROPERTY,,
CRIM TRESPASS AREA/MOTOR VEH,720 ILCS 5/21-3(a)(2),720 ILCS 5/21-3(a)(1-3),MB,,CRIMINAL TRESPASS TO REAL PROPERTY,,
CRIM TRESPASS REMAIN ON LAND,720 ILCS 5/21-3(a)(3),720 ILCS 5/21-3(a)(1-3),MB,,CRIMINAL TRESPASS TO REAL PROPERTY,,
CRIM TRESPASS TO STATE LAND,720 ILCS 5/21-5,720 ILCS 5/21-5,MA,,CRIMINAL TRESPASS TO STATE LAND,,
CRIM TRESPASS TO STATE LAND,720 ILCS 5/21-5(a),720 ILCS 5/21-5,MA,,CRIMINAL TRESPASS TO STATE LAND,,
CRIM TRESPASS LAND/MOTOR VEH,720 ILCS 5/21-3(a),720 ILCS 5/21-2,MA,,CRIMINAL TRESPASS TO VEHICLES,,
TRESPASS TO VEHICLE,,720 ILCS 5/21-2,MA,,CRIMINAL TRESPASS TO VEHICLES,,
CRIM TRES TO RES/PERS PRESENT,720 ILCS 5/19-4(a)(2),720 ILCS 5/19-4(a)(2),F4,,CRIMINAL TRESPASSING,,
CRIMINAL TRESPASS TO RESIDENCE,720 ILCS 5/19-4,720 ILCS 5/19-4(a)(1),MA,4,CRIMINAL TRESPASSING,,
CRIM TRESPASS TO RESIDENCE,720 ILCS 5/19-4(a),720 ILCS 5/19-4(a)(1),MA,4,CRIMINAL TRESPASSING,,
CRIM TRESPASS TO RESIDENCE,720 ILCS 5/19-4(a)(1),720 ILCS 5/19-4(a)(1),MA,,CRIMINAL TRESPASSING,,
CYBERSTALK/CAUSE PERS FEAR/2+,720 ILCS 5/12-7.5(a)(1),720 ILCS 5/12-7.5(2+),F3,,CYBERSTALKING,,
CYBERSTALK/CAUSE PERSON FEAR,720 ILCS 5/12-7.5(a)(1),720 ILCS 5/12-7.5,F4,,CYBERSTALKING,,
CYBERSTALK/CAUSE PER DISTRESS,720 ILCS 5/12-7.5(a)(2),720 ILCS 5/12-7.5,F4,,CYBERSTALKING,,
THEFT/DAMAGE/FACILITY >300,720 ILCS 215/4(2),720 ILCS 215/5(a)(2),F3,,DAMAGE TO A FACILITY,,
AGG DEL METH/PROTECTED/100+ GR,720 ILCS 646/55(b)(1)(C),720 ILCS 646/55(b)(2)(D),FX,,DEALING METHAMPHETAMINE: AGGRAVATED,,
DEFACE FIREARM ID MARKINGS,720 ILCS 5/24-5(a),720 ILCS 5/24-5(a),F2,,DEFACE FIREARM ID MARKINGS,,
POSS FIREARM W/ DEFACED SER NO,720 ILCS 5/24-5(b),720 ILCS 5/24-5(b),F3,,DEFACE FIREARM ID MARKINGS,,
DEFACE FIR ID MARKINGS/POSSESS,720 ILCS 5/24-5(b),720 ILCS 5/24-5(b),F3,,DEFACE FIREARM ID MARKINGS,,
DEFACEMENT PROP/SCHOOL <$300,720 ILCS 5/21-1.3(a),"720 ILCS 5/21-1.3(school, <300)",F4,,DEFACEMENT OF A SCHOOL,,
GIVE FALSE BOMB/GAS ALARM,720 ILCS 5/26-1(a)(3),720 ILCS 5/26-1(a)(3),F3,,DISORDERLY CONDUCT,,
GIVE FALSE FIRE ALARM,720 ILCS 5/26-1(a)(2),720 ILCS 5/26-1(a)(2),F4,,DISORDERLY CONDUCT,,
FALSE REPORT OF OFFENSE,720 ILCS 5/26-1(a)(4),720 ILCS 5/26-1(a)(4),F4,,DISORDERLY CONDUCT,,
TELEPHONE HARASSMENT/CREDITOR,720 ILCS 5/26-1(a)(6),720 ILCS 5/26-1(a)(6),F4,,DISORDERLY CONDUCT,,
FLS ALARM/COMPLAINT TO 911,720 ILCS 5/26-1(a)(6),720 ILCS 5/26-1(a)(6),F4,,DISORDERLY CONDUCT,,
DIS CONDUCT/WINDOW PEEPING,720 ILCS 5/26-1(a)(11),720 ILCS 5/26-1(a)(11),MA,,DISORDERLY CONDUCT,,
DISORDERLY CONDUCT,720 ILCS 5/26-1(a)(1),720 ILCS 5/26-1(a)(1),MC,,DISORDERLY CONDUCT,,
DISORD CNDCT/FUNRL/IMAGES 2+,720 ILCS 5/26-6(c)(2),720 ILCS 5/26-6,MC,,DISORDERLY CONDUCT AT A FUNERAL,,
DISTRIB EXPLICIT MAT TO MINOR,720 ILCS 5/11-21(b)(1)(A),720 ILCS 5/11-21,MA,,DISTRIBUTION OF EXPLICIT MATERIAL TO A MINOR,2nd offense is a 4th degree felony,
MANUF HARMFUL MAT/WEBCAM/DVC,720 ILCS 5/11-21(g),720 ILCS 5/11-21,MA,,DISTRIBUTION OF EXPLICIT MATERIAL TO A MINOR,,
DOG FIGHTING/ATTEND SHOW,720 ILCS 5/48-1(g),720 ILCS 5/48-1(g),F4,,DOG FIGHTING,,
DOM BTRY/BOD HARM/4+ PRI CONV,720 ILCS 5/12-3.2(a)(1),720 ILCS 5/12-3.2(4+),F2,,DOMESTIC BATTERY,,
DOM BTRY/BOD HARM/3 PRIOR CONV,720 ILCS 5/12-3.2(a)(1),720 ILCS 5/12-3.2(3 prior),F3,,DOMESTIC BATTERY,,
DOMESTIC BATTERY/BODILY HARM/VIOLATION O/P,720 ILCS 5/12-3.2(a),720 ILCS 5/12-3.2(1-2 prior),F4,,DOMESTIC BATTERY,,
DOMESTIC BATTERY/BODILY HARM/VIOLATION O/P,720 ILCS 5/12-3.2(a)(1),720 ILCS 5/12-3.2(1-2 prior),F4,,DOMESTIC BATTERY,,
DOMESTIC BATTERY/OTHER PRIOR,720 ILCS 5/12-3.2(a)(1),720 ILCS 5/12-3.2(1-2 prior),F4,,DOMESTIC BATTERY,,
DOMESTIC BATTERY/HARM/VIO O/P,720 ILCS 5/12-3.2(a)(1),720 ILCS 5/12-3.2(1-2 prior),F4,,DOMESTIC BATTERY,,
DOM BTRY/HARM/1-2 PRI CONV,720 ILCS 5/12-3.2(a)(1),720 ILCS 5/12-3.2(1-2 prior),F4,,DOMESTIC BATTERY,,
DOMESTIC BATTERY/OTHER PRIOR,720 ILCS 5/12-3.2(a)(2),720 ILCS 5/12-3.2(1-2 prior),F4,,DOMESTIC BATTERY,,
DOM BTRY/CONTACT/1-2 PRI CONV,720 ILCS 5/12-3.2(a)(2),720 ILCS 5/12-3.2(1-2 prior),F4,,DOMESTIC BATTERY,,
DOMESTIC BATTERY,720 ilcs 5/12-*3.2,720 ILCS 5/12-3.2,MA,,DOMESTIC BATTERY,"Class 4 if: 2nd offense, prior murder conviction. Class 3 if: 3rd conviction. Class 2 if: 4+ conviction",
DOMESTIC BATTERY,38-12-3.2,720 ILCS 5/12-3.2,MA,"A, 4, 3, 2",DOMESTIC BATTERY,,
BATTERY/DOMESTIC,720 ILCS 5/12-3.2,720 ILCS 5/12-3.2,MA,,DOMESTIC BATTERY,,
DOMESTIC BATTERY/BODILY HARM,720 ILCS 5 12-3.2(a)(1) [10416],720 ILCS 5/12-3.2,MA,,DOMESTIC BATTERY,,
DOMESTIC BATTERY/BODILY HARM,720 ILCS 5/12-3.2(a)(1),720 ILCS 5/12-3.2,MA,,DOMESTIC BATTERY,,
DOMESTIC BTRY/PHYSICAL CONTACT,720 ILCS 5 12-3.2(a)(2) [10418],720 ILCS 5/12-3.2,MA,,DOMESTIC BATTERY,,
DOMESTIC BTRY/PHYSICAL CONTACT,720 ILCS 5/12-3.2(a)(2),720 ILCS 5/12-3.2,MA,,DOMESTIC BATTERY,,
AGG DOMESTIC BATTERY/STRANGLE,720 ILCS 5/12-3.3(a-5),720 ILCS 5/12-3.3,F2,,DOMESTIC BATTERY: AGGRAVATED,,
AGGRAVATED DOMESTIC BATTERY,720 ILCS 5 12-3.3(a) [12300],720 ILCS 5/12-3.3,F2,,DOMESTIC BATTERY: AGGRAVATED,,
AGGRAVATED DOMESTIC BATTERY,720 ILCS 5/12-3.3(a),720 ILCS 5/12-3.3,F2,,DOMESTIC BATTERY: AGGRAVATED,,
DRINKING ALCOHOL ON THE PUBLIC,,LOCAL,LOCAL,,DRINKING ON THE PUBLIC WAY,,
DRINKING ON PUBLIC WAY (8-4-030) LOCAL CHARGE,,LOCAL,LOCAL,,DRINKING ON THE PUBLIC WAY,,
DRINKING ALCOHOL ON PUBLI WAY,,LOCAL,LOCAL,,DRINKING ON THE PUBLIC WAY,,
DRIVING REVOKED/SUSPENDED 2ND+,625 ILCS 5 6-303(d) [5883000],625 ILCS 5/6-303(d),F4,,DRIVING WITH A REVOKED OR SUSPENDED LICENSE,,
DRIVING REVOKED/SUSPENDED 2ND+,625 ILCS 5/6-303(d),625 ILCS 5/6-303(d),F4,,DRIVING WITH A REVOKED OR SUSPENDED LICENSE,,
DRIVING DURING SUSPENSION,625 ILCS 5/6-210(1),625 ILCS 5/6-303(a),MA,,DRIVING WITH A REVOKED OR SUSPENDED LICENSE,,
